ds,yhat,product_name
2025-04-27,19.168675676754766,Decorative Wreath
2025-05-04,31.532382734698217,Decorative Wreath
2025-05-11,28.306525465543643,Decorative Wreath
2025-05-18,8.550081021675695,Decorative Wreath
2025-07-06,42.4727898837557,Gift Box
2025-07-13,40.64852349168541,Gift Box
2025-07-20,39.9931939578425,Gift Box
2025-07-27,34.87174141410386,Gift Box
2025-06-29,60.469269247305206,LED String Lights
2025-07-06,43.72180793043117,LED String Lights
2025-07-13,40.318925994855796,LED String Lights
2025-07-20,45.3477656475426,LED String Lights
2025-07-13,30.583836878516394,Air Conditioner (AC)
2025-07-20,51.81275262810556,Air Conditioner (AC)
2025-07-27,65.37273928268567,Air Conditioner (AC)
2025-08-03,57.86091151518805,Air Conditioner (AC)
2025-06-29,68.79065977780806,Lip Balm
2025-07-06,60.16188732130657,Lip Balm
2025-07-13,44.61570992095289,Lip Balm
2025-07-20,49.93993841151563,Lip Balm
2025-06-29,30.071525378774083,Fruit Cake
2025-07-06,39.49344783352045,Fruit Cake
2025-07-13,44.890447313161175,Fruit Cake
2025-07-20,44.3318746918657,Fruit Cake
2025-06-08,42.986268097021,Body Oil
2025-06-15,66.48883787509823,Body Oil
2025-06-22,89.9497245714845,Body Oil
2025-06-29,85.5414707717299,Body Oil
2025-07-13,88.72645080320663,Holi Colors
2025-07-20,78.01454186865678,Holi Colors
2025-07-27,60.21498565750024,Holi Colors
2025-08-03,52.642850173117296,Holi Colors
2025-06-29,18.41230724238747,Thermals
2025-07-06,14.795055520676755,Thermals
2025-07-13,12.489426369885479,Thermals
2025-07-20,17.67545276306234,Thermals
2025-07-13,45.201507419512645,Sunscreen
2025-07-20,30.563854705443262,Sunscreen
2025-07-27,29.75067947726675,Sunscreen
2025-08-03,44.1480454720809,Sunscreen
2025-07-06,28.98642894087744,Electric Lights
2025-07-13,46.73555902350209,Electric Lights
2025-07-20,56.91300541936461,Electric Lights
2025-07-27,54.62529191411844,Electric Lights
2025-07-06,16.046821417221565,Scarf
2025-07-13,-3.007145928131024,Scarf
2025-07-20,-5.608469388652196,Scarf
2025-07-27,0.712500517159242,Scarf
2025-07-06,39.80042857825505,Deodorant (Dio)
2025-07-13,46.347507109334884,Deodorant (Dio)
